leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PSG,3,1,0,0,1,0,1
2,FCN,4,1,1,0,2,1,1
3,OGCN,6,2,0,1,5,4,1
4,OM,7,2,1,1,5,5,0
5,PSG,9,3,0,2,6,2,4
6,ASSE,10,3,1,2,8,7,1
7,MHSC,11,3,2,2,13,9,4
8,OL,13,3,4,1,14,8,6
9,OL,14,3,5,1,15,9,6
10,ASM,17,5,2,3,17,14,3
11,ASM,20,6,2,3,20,16,4
12,RCL,21,6,3,3,18,18,0
13,MHSC,23,7,2,4,22,19,3
14,ASM,23,7,2,5,25,20,5
15,SRFC,25,7,4,4,22,19,3
16,RCL,27,8,3,5,25,23,2
17,ASM,27,8,3,6,28,25,3
18,RCL,30,9,3,6,29,27,2
19,RCL,30,9,3,7,29,28,1
20,RCL,31,9,4,7,30,29,1
21,FCGB,32,9,5,7,25,22,3
22,FCM,34,9,7,6,27,20,7
23,FCM,35,9,8,6,28,21,7
24,RCL,36,10,6,8,34,33,1
25,RCL,37,10,7,8,35,34,1
26,FCM,38,10,8,8,31,25,6
27,RCL,41,11,8,8,39,37,2
28,FCM,41,11,8,9,33,27,6
29,FCM,42,11,9,9,35,29,6
30,SRFC,44,12,8,10,37,33,4
31,SRFC,45,12,9,10,39,35,4
32,SRFC,48,13,9,10,40,35,5
33,SRFC,51,14,9,10,43,35,8
34,SRFC,54,15,9,10,48,36,12
35,SRFC,54,15,9,11,48,37,11
36,SRFC,55,15,10,11,49,38,11
37,SRFC,55,15,10,12,50,40,10
38,RCL,57,15,12,11,55,54,1
