id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
68089,20200821,1900,1,12,FCGB,18,FCN,0,0,43.5,56.6,55.9,9,0,2,482,77,83.2,68.2,9,22.2,5,1,0,4,1,20.0,14,57.1,28,10,2,1,56.5,43.4,44.1,10,3,3,618,35,89.2,81.8,19,5.3,6,1,2,6,0,16.7,13,30.8,15,15,3,0
68090,20200822,1700,1,20,DFCO,13,SCO,0,1,53.6,55.6,75.0,5,2,3,530,41,88.9,76.1,10,0.0,9,1,3,4,5,11.1,13,53.8,21,15,0,0,46.4,44.4,25.0,10,1,9,438,56,87.2,73.3,26,26.9,12,4,3,3,9,33.3,11,72.7,25,8,0,0
68091,20200822,2100,1,1,LOSC,6,SRFC,1,1,51.2,47.4,46.7,9,0,4,501,55,84.0,70.7,13,7.7,5,1,0,4,1,20.0,16,56.3,9,12,0,1,48.8,52.6,53.3,11,0,2,480,49,84.8,70.8,14,28.6,16,2,5,7,9,12.5,13,69.2,14,16,1,1
68094,20200823,1300,1,3,ASM,14,SDR,2,2,76.2,51.6,62.5,11,0,8,735,48,90.5,82.1,36,36.1,22,5,5,6,16,22.7,23,73.9,4,8,1,0,23.8,48.4,37.5,11,0,1,235,59,68.9,55.5,6,50.0,9,3,2,2,7,33.3,24,54.2,23,14,3,0
68092,20200823,1500,1,16,FCL,15,RCSA,3,1,49.8,39.8,24.0,15,1,6,400,49,82.3,64.1,23,21.7,10,7,1,1,9,70.0,18,72.2,9,17,3,0,50.2,60.2,76.0,9,2,1,419,60,78.8,67.3,7,0.0,7,1,3,6,1,14.3,20,60.0,14,10,2,0
68097,20200823,1500,1,19,NO,17,SB29,4,0,44.6,46.6,44.1,14,0,4,333,77,73.9,60.6,13,53.8,12,5,2,2,10,41.7,18,50.0,16,14,2,0,55.4,53.4,55.9,8,3,4,418,73,76.8,60.4,16,25.0,10,3,2,4,6,30.0,18,61.1,10,17,3,1
68096,20200823,1700,1,9,OGCN,7,RCL,2,1,57.6,48.9,41.7,11,0,1,515,50,85.6,71.9,5,0.0,4,2,2,2,2,50.0,12,41.7,17,17,2,0,42.4,51.1,58.3,18,1,7,353,60,82.7,66.5,29,37.9,16,4,3,4,12,25.0,6,33.3,6,18,3,0
68095,20200915,2100,1,8,MHSC,4,OL,2,1,44.3,40.2,52.5,9,2,4,391,55,80.8,68.5,16,37.5,10,3,3,3,7,30.0,12,50.0,17,13,3,1,55.7,59.8,47.5,7,0,11,488,50,84.8,77.2,26,30.8,19,7,6,7,12,36.8,17,52.9,12,13,2,1
68098,20200916,2100,1,2,PSG,10,FCM,1,0,71.8,43.2,46.9,9,1,8,638,47,87.1,77.0,31,22.6,20,8,2,8,12,40.0,12,66.7,9,8,1,1,28.2,56.8,53.1,13,3,2,254,64,67.7,56.1,9,22.2,7,1,3,3,4,14.3,16,37.5,29,6,2,0
68093,20200917,2100,1,5,OM,11,ASSE,0,2,59.8,49.0,40.0,14,3,7,519,52,82.3,74.9,20,25.0,13,2,3,3,10,15.4,16,68.8,17,13,2,0,40.2,51.0,60.0,15,4,6,344,61,77.6,54.6,18,27.8,12,5,5,4,8,41.7,20,65.0,22,15,2,0
