leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,NO,FCL,ASSE,OGCN,MHSC,SCO,PSG,SDR,ASM,SRFC,LOSC,FCN,FCGB,RCL,OL,DFCO,FCM,RCSA,OM,SB29
2,ASSE,OGCN,FCGB,ASM,SRFC,LOSC,FCN,NO,OL,MHSC,FCL,RCL,PSG,OM,SCO,SDR,FCM,RCSA,DFCO,SB29
3,ASSE,SRFC,ASM,LOSC,MHSC,RCL,OGCN,OM,SCO,FCGB,OL,FCN,NO,FCL,PSG,SB29,SDR,FCM,RCSA,DFCO
4,ASSE,SRFC,MHSC,RCL,LOSC,ASM,OM,PSG,SB29,OGCN,SCO,OL,FCGB,FCN,NO,FCL,FCM,RCSA,SDR,DFCO
5,SRFC,LOSC,MHSC,ASSE,ASM,RCL,PSG,SCO,OM,OGCN,OL,FCGB,SB29,NO,FCN,FCL,FCM,RCSA,SDR,DFCO
6,SRFC,LOSC,RCL,PSG,MHSC,ASM,ASSE,OGCN,FCGB,OM,SB29,SCO,NO,OL,FCM,FCN,FCL,RCSA,SDR,DFCO
7,LOSC,PSG,SRFC,OGCN,RCL,OM,MHSC,ASM,OL,ASSE,SCO,FCGB,SB29,FCM,FCN,NO,FCL,RCSA,SDR,DFCO
8,PSG,LOSC,SRFC,OM,OGCN,RCL,OL,SCO,FCGB,FCM,MHSC,ASM,ASSE,FCN,SB29,NO,FCL,RCSA,SDR,DFCO
9,PSG,LOSC,SRFC,OGCN,RCL,OM,OL,FCM,ASM,MHSC,SCO,FCGB,ASSE,FCN,SB29,SDR,FCL,NO,RCSA,DFCO
10,PSG,LOSC,SRFC,OM,RCL,OL,ASM,MHSC,OGCN,SCO,FCM,FCN,FCGB,SB29,ASSE,SDR,FCL,NO,RCSA,DFCO
11,PSG,LOSC,OM,RCL,OL,MHSC,ASM,SRFC,OGCN,FCM,SCO,FCGB,SB29,FCN,NO,ASSE,SDR,FCL,RCSA,DFCO
12,PSG,OM,LOSC,OL,ASM,MHSC,RCL,SRFC,SCO,SB29,OGCN,FCM,FCGB,FCN,ASSE,NO,SDR,FCL,RCSA,DFCO
13,PSG,OM,LOSC,OL,RCL,ASM,MHSC,SCO,SRFC,FCGB,OGCN,SB29,FCM,FCN,ASSE,NO,RCSA,SDR,FCL,DFCO
14,OM,LOSC,OL,PSG,MHSC,RCL,ASM,SCO,SRFC,SB29,FCGB,OGCN,FCM,FCN,ASSE,RCSA,FCL,NO,SDR,DFCO
15,LOSC,PSG,OL,OM,RCL,MHSC,SRFC,ASM,SCO,SB29,OGCN,FCM,FCGB,ASSE,RCSA,FCN,SDR,FCL,NO,DFCO
16,LOSC,OL,PSG,OM,SRFC,MHSC,RCL,ASM,SCO,FCM,SB29,FCGB,OGCN,ASSE,FCN,RCSA,SDR,NO,FCL,DFCO
17,OL,LOSC,PSG,SRFC,OM,RCL,ASM,MHSC,SCO,FCM,SB29,OGCN,FCGB,ASSE,SDR,FCN,RCSA,FCL,DFCO,NO
18,OL,PSG,LOSC,OM,SRFC,ASM,RCL,SCO,MHSC,SB29,FCM,FCGB,OGCN,ASSE,SDR,RCSA,FCN,DFCO,FCL,NO
19,OL,PSG,LOSC,OM,ASM,SRFC,RCL,SCO,MHSC,FCGB,SB29,FCM,OGCN,SDR,RCSA,ASSE,FCN,DFCO,FCL,NO
20,PSG,LOSC,OL,ASM,SRFC,OM,RCL,SCO,FCGB,FCM,MHSC,SB29,RCSA,OGCN,SDR,ASSE,FCN,FCL,NO,DFCO
21,PSG,LOSC,OL,ASM,SRFC,OM,FCGB,FCM,RCL,SCO,MHSC,SB29,OGCN,SDR,RCSA,ASSE,FCN,NO,DFCO,FCL
22,LOSC,OL,PSG,ASM,OM,SRFC,FCM,RCL,SCO,FCGB,MHSC,SDR,OGCN,SB29,RCSA,ASSE,FCN,FCL,NO,DFCO
23,LOSC,OL,PSG,ASM,OM,SRFC,FCM,RCL,SCO,FCGB,MHSC,SDR,SB29,OGCN,RCSA,ASSE,FCN,FCL,NO,DFCO
24,LOSC,OL,PSG,ASM,OM,SRFC,RCL,FCM,SCO,FCGB,MHSC,SB29,OGCN,SDR,ASSE,RCSA,FCL,FCN,NO,DFCO
25,LOSC,PSG,OL,ASM,OM,SRFC,RCL,FCM,MHSC,SCO,FCGB,SB29,SDR,OGCN,ASSE,RCSA,FCL,FCN,NO,DFCO
26,LOSC,OL,PSG,ASM,OM,RCL,FCM,SRFC,MHSC,SCO,FCGB,SB29,SDR,ASSE,RCSA,OGCN,NO,FCN,FCL,DFCO
27,LOSC,PSG,OL,ASM,OM,FCM,RCL,MHSC,SRFC,SCO,FCGB,OGCN,SDR,SB29,RCSA,ASSE,FCL,NO,FCN,DFCO
28,LOSC,PSG,OL,ASM,RCL,OM,FCM,MHSC,SCO,SRFC,OGCN,SDR,SB29,RCSA,FCGB,ASSE,FCL,NO,FCN,DFCO
29,LOSC,PSG,OL,ASM,OM,RCL,FCM,SRFC,MHSC,SCO,FCGB,OGCN,SDR,SB29,RCSA,ASSE,FCL,FCN,NO,DFCO
30,PSG,LOSC,OL,ASM,RCL,OM,SRFC,MHSC,FCM,SCO,OGCN,SDR,FCGB,SB29,RCSA,ASSE,FCL,NO,FCN,DFCO
