leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,CF63,3,1,0,0,2,0,2
2,SCO,6,2,0,0,5,0,5
3,PSG,9,3,0,0,10,5,5
4,PSG,12,4,0,0,12,5,7
5,PSG,15,5,0,0,16,5,11
6,PSG,18,6,0,0,18,6,12
7,PSG,21,7,0,0,20,7,13
8,PSG,24,8,0,0,22,7,15
9,PSG,24,8,0,1,22,9,13
10,PSG,27,9,0,1,24,10,14
11,PSG,28,9,1,1,24,10,14
12,PSG,31,10,1,1,26,11,15
13,PSG,34,11,1,1,29,13,16
14,PSG,37,12,1,1,32,14,18
15,PSG,40,13,1,1,35,15,20
16,PSG,41,13,2,1,35,15,20
17,PSG,42,13,3,1,36,16,20
18,PSG,45,14,3,1,38,16,22
19,PSG,46,14,4,1,39,17,22
20,PSG,47,14,5,1,40,18,22
21,PSG,50,15,5,1,42,18,24
22,PSG,53,16,5,1,46,18,28
23,PSG,56,17,5,1,51,19,32
24,PSG,59,18,5,1,52,19,33
25,PSG,59,18,5,2,53,22,31
26,PSG,62,19,5,2,56,23,33
27,PSG,62,19,5,3,56,24,32
28,PSG,65,20,5,3,59,24,35
29,PSG,65,20,5,4,59,27,32
30,PSG,68,21,5,4,64,28,36
31,PSG,71,22,5,4,70,29,41
32,PSG,74,23,5,4,72,30,42
33,PSG,77,24,5,4,75,30,45
