leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SCO,3,1,0,0,2,0,2
2,CF63,6,2,0,0,4,0,4
3,SCO,7,2,1,0,6,1,5
4,SCO,10,3,1,0,8,1,7
5,SCO,11,3,2,0,9,2,7
6,OM,14,4,2,0,13,6,7
7,OM,15,4,3,0,13,6,7
8,OM,15,4,3,1,15,9,6
9,RCL,18,5,3,1,16,10,6
10,OM,18,5,3,2,19,12,7
11,RCL,21,6,3,2,20,12,8
12,OGCN,23,7,3,2,23,9,14
13,RCL,24,7,3,3,25,14,11
14,OGCN,26,8,3,3,25,11,14
15,SRFC,28,8,4,3,26,12,14
16,OM,29,8,5,3,23,14,9
17,SRFC,31,9,4,4,32,14,18
18,OM,32,9,5,4,26,16,10
19,OGCN,33,10,4,5,29,17,12
20,OGCN,36,11,4,5,32,17,15
21,OGCN,39,12,4,5,34,18,16
22,OGCN,42,13,4,5,36,18,18
23,OM,43,12,7,4,36,20,16
24,OM,46,13,7,4,38,21,17
25,OM,46,13,7,5,38,23,15
26,OM,47,13,8,5,39,24,15
27,OGCN,49,15,5,7,38,21,17
28,OM,50,14,8,6,43,26,17
29,OM,53,15,8,6,45,27,18
30,OM,56,16,8,6,49,29,20
31,OM,59,17,8,6,51,29,22
32,OM,59,17,8,7,52,31,21
33,OM,62,18,8,7,55,33,22
