id,abbr,fullName
1,LOSC,Lille Olympique Sporting Club
2,PSG,Paris Saint-Germain Football Club
3,ASM,Association Sportive de Monaco
4,OL,Olympique Lyonnais
5,OM,Olympique de Marseille
6,SRFC,Stade Rennais Football Club
7,RCL,Racing Club de Lens
8,MHSC,Montpellier Hérault Sport Club
9,OGCN,Olympique Gymnaste Club Nice Côte d'Azur
10,FCM,Football Club de Metz
11,ASSE,Association Sportive de Saint-Etienne
12,FCGB,Football Club des Girondins de Bordeaux
13,SCO,Angers Sporting Club de l'Ouest
14,SDR,Stade de Reims
15,RCSA,Racing Club de Strasbourd Alsace
16,FCL,Football Club de Lorient
17,SB29,Stade Brestois 29
18,FCN,Football Club de Nantes
19,NO,Nîmes Olympique
20,DFCO,Dijon Football Côte d'Or
21,ASC,Amiens Sporting Club
22,TFC,Toulouse Football Club
23,SMC,Stade Malherbe Caen
24,EAG,En Avant Guingamp
25,ESTAC,Espérence Sportive Troyes Aube Champagne
26,ASNL,Association Sportive Nancy Lorraine
27,SCB,Sporting Club Bastiais
28,GFCA,Gazélec Football Club Ajaccio
29,TEGG,Thonon Evian Grand Genève Football Club
30,VAFC,Valenciennes Football Club
31,ACA,Athletic Club Ajaccio
32,AJA,Association de la Jeunesse Auxerroise
33,ACAA,Athlétic Club Arlésien
34,LMFC,Le Mans Football Club
35,USB,Union Sportive de Boulogne-sur-mer Côte d'Opale
36,GF38,Grenoble Football 38
37,HAC,Le Havre Athlétic Club
38,CSSA,Club Sportif Sedan Ardennes
39,FCI,Football Club Istres Ouest Provence
40,FCSM,Football Club Sochaux-Montbélliard
41,CF63,Clermont Foot 63
42,PFC, Paris Football Club
